year,province,mcpr_archange,p(1-x),provision_25,u(1-y),utilisation_05
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,0.75P1,115.01775,0.95U1,9.5484505
2021,Centre,,0.75P1,773.20947,0.95U1,29.796749
2021,East,,0.75P1,453.08249,0.95U1,41.895
2021,Far North,,0.75P1,35.025002,0.95U1,10.49845
2021,Littoral,,0.75P1,292.52026,0.95U1,33.648998
2021,North,,0.75P1,38.700001,0.95U1,14.0277
2021,Northwest,,0.75P1,160.61325,0.95U1,18.259951
2021,West,,0.75P1,628.36572,0.95U1,39.424049
2021,South,,0.75P1,468.70499,0.95U1,13.14705
2021,Southwest,,0.75P1,626.46527,0.95U1,45.0718
2021,Cameroon,,0.75P1,301.98599,0.95U1,38.59375
2022,Adamawa,,0.75P2,86.263313,0.95U2,9.0710278
2022,Centre,,0.75P2,579.9071,0.95U2,28.306913
2022,East,,0.75P2,339.81189,0.95U2,39.800251
2022,Far North,,0.75P2,26.268749,0.95U2,9.9735279
2022,Littoral,,0.75P2,219.39018,0.95U2,31.966551
2022,North,,0.75P2,29.025,0.95U2,13.326315
2022,Northwest,,0.75P2,120.45994,0.95U2,17.346952
2022,West,,0.75P2,471.27432,0.95U2,37.452847
2022,South,,0.75P2,351.52875,0.95U2,12.489697
2022,Southwest,,0.75P2,469.84894,0.95U2,42.818211
2022,Cameroon,,0.75P2,226.4895,0.95U2,36.664063
2023,Adamawa,,0.75P3,64.697487,0.95U3,8.6174765
2023,Centre,,0.75P3,434.93036,0.95U3,26.891567
2023,East,,0.75P3,254.8589,0.95U3,37.810238
2023,Far North,,0.75P3,19.701563,0.95U3,9.4748507
2023,Littoral,,0.75P3,164.54263,0.95U3,30.368223
2023,North,,0.75P3,21.768749,0.95U3,12.659999
2023,Northwest,,0.75P3,90.344955,0.95U3,16.479605
2023,West,,0.75P3,353.45575,0.95U3,35.580204
2023,South,,0.75P3,263.64658,0.95U3,11.865212
